Problem, PyPRIMA result, SciPy result, Error, Error != 0, PyPRIMA cstrv, SciPy cstrv, Error, PyPRIMA nfev, SciPy nfev, PyPRIMA s, SciPy s, Speedup (<1)/Slowdown (>1)
AIRCRFTA   , 0.0                    , 0.0                    , 0.00    , False, 8.619960322787945e-12  , 3.8264573160531745e-06 , -44390560.43, 33   , 34   , 0.002245483976421934, 7.491252001594094e-05, 29.974748893030277
AIRCRFTB   , 0.33200050298580724    , 1.2851059066529078     , -287.08 , True, 0.0                    , 0.0                    , 0.00    , 2500 , 1000 , 0.0004473069190979004, 6.07609748840332e-06, 73.61746909947028
AKIVA      , 6.169186262477943      , 6.171902302081875      , -0.04   , True, 0.0                    , 0.0                    , 0.00    , 1000 , 291  , 0.0003472862243652344, 7.5499216715494794e-06, 45.99865263157895
ALLINIT    , 16.705968432931407     , 16.705968541508405     , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 91   , 74   , 0.00036252723945366156, 9.955586613835515e-06, 36.4144528610548
ALLINITA   , 30.79490611327864      , 30.795768480499337     , -0.00   , True, 9.679811729945698e-09  , 1.6132979618888044e-08 , -66.67  , 72   , 41   , 0.0007522768444485135, 6.090722432950648e-05, 12.351192370525958
ALLINITC   , 30.495419651107884     , 30.496551711922812     , -0.00   , True, 7.427919390678994e-10  , 0.0                    , 100.00  , 51   , 46   , 0.0008860008389342065, 3.517192343006963e-05, 25.190571129719203
ALLINITU   , 5.744384910325017      , 5.7443849452775835     , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 99   , 69   , 0.00033777651160654394, 7.218208865842957e-06, 46.79505925700277
ALSOTAME   , 0.08208499862391111    , 0.08208499862052751    , 0.00    , True, 1.5010215292932116e-13 , 4.107070239456334e-11  , -27261.83, 13   , 16   , 0.001014397694514348, 4.4986605644226074e-05, 22.548882717150356
ARGAUSS    , 0.0                    , 0.0                    , 0.00    , False, 3.517346390381412e-05  , 3.5181298777553494e-05 , -0.02   , 13   , 20   , 0.002161998015183669, 8.304119110107422e-05, 26.035248128271384
AVGASA     , -4.63192554527031      , -4.63192552437065      , -0.00   , True, 2.4787216730195574e-24 , 2.220446049250313e-16  , -8958028844.59, 146  , 128  , 0.001285698315868639, 1.7311424016952515e-05, 74.26877850196475
AVGASB     , -4.483219364852291     , -4.483216930115568     , -0.00   , True, 2.220446049250313e-16  , 2.1094237467877974e-15 , -850.00 , 144  , 98   , 0.0012631515661875408, 1.7560258203623245e-05, 71.93240278932299
BARD       , 0.01025547679737248    , 0.010851854841086556   , -5.82   , True, 0.0                    , 0.0                    , 0.00    , 1500 , 1000 , 0.0003935559590657552, 6.738901138305664e-06, 58.40061324370541
BARDNE     , 0.0                    , 0.0                    , 0.00    , False, 0.05081632653064083    , 0.05081632653061252    , 0.00    , 27   , 41   , 0.0014325954295970776, 7.821292411990282e-05, 18.31660746248107
BEALE      , 9.622000924125749e-10  , 7.254063788950956e-06  , -753803.88, True, 0.0                    , 0.0                    , 0.00    , 735  , 382  , 0.0004007780633005155, 6.707550967551027e-06, 59.750282217660484
BENNETT5   , 0.0                    , 0.0                    , 0.00    , False, 0.007660478825364692   , 0.007700018425062183   , -0.52   , 1500 , 1000 , 0.0030236220359802246, 0.0006283180713653564, 4.812247448827616
