Problem, Fortran result, Python result, Error, Fortran cstrv, Python cstrv, Error, Fortran nfev, Python nfev, Fresult.status
AIRCRFTA   , 0.0                    , 0.0                    , 0.00    , 8.61995381757491e-12   , 8.61995381757491e-12   , 0.00    , 33   , 33   , 0
AIRCRFTB   , 0.36027262356871653    , 0.36027262356871653    , 0.00    , 0.0                    , 0.0                    , 0.00    , 2500 , 2500 , 3
AKIVA      , 6.170773522073405      , 6.170773522073405      , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
ALLINIT    , 16.705968432897922     , 16.705968432897922     , 0.00    , 0.0                    , 0.0                    , 0.00    , 85   , 85   , 0
ALLINITA   , 33.29662696801105      , 33.29662696801105      , 0.00    , 1.29867090414848e-08   , 1.29867090414848e-08   , 0.00    , 61   , 61   , 0
ALLINITC   , 30.49661795347201      , 30.49661795347201      , 0.00    , 1.007899408378421e-08  , 1.007899408378421e-08  , 0.00    , 46   , 46   , 0
ALLINITU   , 5.744384910324333      , 5.744384910324333      , 0.00    , 0.0                    , 0.0                    , 0.00    , 98   , 98   , 0
ALSOTAME   , 0.08208499862391111    , 0.08208499862391111    , 0.00    , 1.5010215292932116e-13 , 1.5010215292932116e-13 , 0.00    , 13   , 13   , 0
ARGAUSS    , 0.0                    , 0.0                    , 0.00    , 3.517346078718564e-05  , 3.517346078718564e-05  , 0.00    , 15   , 15   , 0
AVGASA     , -4.631925545270105     , -4.631925545270105     , -0.00   , 5.551106906001769e-17  , 5.551106906001769e-17  , 0.00    , 153  , 153  , 0
AVGASB     , -4.4832193648526735    , -4.4832193648526735    , -0.00   , 4.440892098500626e-16  , 4.440892098500626e-16  , 0.00    , 148  , 148  , 0
BARD       , 0.010314822865069531   , 0.010314822865069531   , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
BARDNE     , 0.0                    , 0.0                    , 0.00    , 0.050816326530669365   , 0.050816326530669365   , 0.00    , 31   , 31   , 0
BEALE      , 1.852104547751497e-09  , 1.852104547751497e-09  , 0.00    , 0.0                    , 0.0                    , 0.00    , 735  , 735  , 0
BENNETT5   , 0.0                    , 0.0                    , 0.00    , 0.007660478826139183   , 0.007660478826139183   , 0.00    , 1500 , 1500 , 3
BENNETT5LS , 0.684541044282733      , 0.684541044282733      , 0.00    , 0.0                    , 0.0                    , 0.00    , 53   , 53   , 0
BIGGS3     , 1.0631133951128183e-08 , 1.0631133951128183e-08 , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
